Vardas              Pavarde             Galutinis(vid.)/    Galutinis(med.)
--------------------------------------------------------------------------
Vardas1             Pavarde1            3.6                 8
Vardas2             Pavarde2            1.2                 4
Vardas3             Pavarde3            3                   1
Vardas4             Pavarde4            4.2                 10
Vardas5             Pavarde5            6                   7
Vardas6             Pavarde6            1.2                 4
Vardas7             Pavarde7            5.4                 3
Vardas8             Pavarde8            5.4                 7
Vardas9             Pavarde9            1.8                 6
Vardas10            Pavarde10           3.6                 3
Vardas11            Pavarde11           1.2                 9
Vardas12            Pavarde12           1.2                 7
Vardas13            Pavarde13           3                   2
Vardas14            Pavarde14           6                   2
Vardas15            Pavarde15           2.4                 5
Vardas16            Pavarde16           6                   9
Vardas17            Pavarde17           0.6                 9
Vardas18            Pavarde18           5.4                 6
Vardas19            Pavarde19           4.8                 7
Vardas20            Pavarde20           4.2                 9
Vardas21            Pavarde21           4.2                 1
Vardas22            Pavarde22           4.8                 9
Vardas23            Pavarde23           3.6                 4
Vardas24            Pavarde24           5.4                 9
Vardas25            Pavarde25           4.8                 6
Vardas26            Pavarde26           3.6                 10
Vardas27            Pavarde27           4.8                 3
Vardas28            Pavarde28           0.6                 10
Vardas29            Pavarde29           3.6                 5
Vardas30            Pavarde30           5.4                 2
Vardas31            Pavarde31           4.8                 3
Vardas32            Pavarde32           2.4                 10
Vardas33            Pavarde33           4.8                 1
Vardas34            Pavarde34           2.4                 2
Vardas35            Pavarde35           2.4                 6
Vardas36            Pavarde36           1.8                 6
Vardas37            Pavarde37           3                   3
Vardas38            Pavarde38           1.8                 1
Vardas39            Pavarde39           2.4                 7
Vardas40            Pavarde40           5.4                 4
Vardas41            Pavarde41           1.2                 2
Vardas42            Pavarde42           4.8                 4
Vardas43            Pavarde43           2.4                 3
Vardas44            Pavarde44           5.4                 1
Vardas45            Pavarde45           3.6                 8
Vardas46            Pavarde46           3.6                 1
Vardas47            Pavarde47           6                   6
Vardas48            Pavarde48           4.8                 4
Vardas49            Pavarde49           4.2                 5
Vardas50            Pavarde50           3                   10
Vardas51            Pavarde51           1.8                 6
